Funilaria e pintura	Alvares Auto Center Funilaria e Pintura	1636391800	Av. Rio Pardo, 2370 - Planalto Verde
Máquinas agrícolas	Jaguar Máquinas e Ferramentas Motorizadas	16981345960	Ribeirão Preto
Agropecuária	Dinagro Agropecuária	1636291110	Via Anhanguera - Recreio Anhanguera
Autopeças	Copecar	1636372971	Ribeirão Preto
Serviços agrícolas	Sampaio Serviços Agrícolas	16991813543	Ribeirão Preto
Perfumaria	Open Perfumes Importados	1636104383	R. Barão do Amazonas - Centro
Cosméticos	Silvia Cosméticos	1636371678	R. Rangel Pestana, 491 - Vila Virgínia
Farmácia	Planalto Farma	1639757360	R. Maria Tereza Braga Cerri - Planalto Verde
Farmácia	Drogaria Juliana	1639652469	R. Dr. Urandy Vieira de Souza Leite - Conjunto Habitacional
Perfumaria	Perfumaria Cibele	1639651007	Ribeirão Preto
Farmácia	Pague Menos	1636251577	Av. Treze de Maio - Jardim Paulista
Móveis para escritório	Esquina Móveis	1636254375	Av. Independência, 353 - Vila Seixas
Telecomunicações	GIGA Telecomunicações	1636209454	Trav. Nadir Lara Mansini, 142 - Jardim São Luiz
Antenas	Acetron	1636323938	R. José Bonifácio, 363 - Centro
Telecomunicações	Novatec	1636351464	Av. Independência - Jardim Sumaré
Telecomunicações	Gibacell	1632891837	R. São Sebastião - Centro
Provedor de internet	Convex Internet Provedor	1621321000	R. Bernardino de Campos - Centro
Telefonia	Tecbell	1636364719	Ribeirão Preto
Telecomunicações	Nextel Telecomunicações	1639416238	R. Amadeu Amaral - Vila Seixas
Redes e cabeamento	Rib Redes	1636394993	Ribeirão Preto
Despachante	Marlene Despachante	1636262729	Ribeirão Preto
Prótese dentária	Protecnica Laboratório de Prótese	1636107640	Av. Capitão Salomão, 1318 - Campos Elíseos
Odontologia	Uniodonto	1636352551	Ribeirão Preto
Clínica odontológica	Núcleo Odonto	1621022199	Ribeirão Preto
Assistência odontológica	Assistdente	1636363064	Ribeirão Preto
Equipamentos odontológicos	Odontobras	1621024500	Ribeirão Preto
Produtos odontológicos	Dental Tanaka	1636362700	Ribeirão Preto
Clínica odontológica	Clínica do Dente	1639412225	Ribeirão Preto
Reciclagem	Baroni Reciclagem	1639172574	R. Athaulfo Alves - Parque Anhanguera
Reciclagem	Grupo Zulmira	1639699520	R. Peru - Vila Mariana
Ferro velho	Ferro Velho Paraná	1639632349	Ribeirão Preto
Livraria	Livraria Saraiva	1635193371	R. São José, 933 - Centro
Papelaria e livraria	ABC Papelaria e Livraria	1630118860	R. Santa Catarina - Ipiranga
Livraria	Livraria Monteiro Lobato	1636373427	R. Rangel Pestana - Vila Virgínia
Papelaria e livraria	Monteiro Lobato Papelaria e Livraria	1639661263	R. Cel. Camisão - Vila Monte Alegre
Instalações elétricas	Marcos Eletricista	1630433889	Trav. Eloísa - Campos Elíseos
Materiais elétricos	Ponto da Eletricidade	1636365665	R. Bartolomeu de Gusmão - Vila Tibério
