Padaria	Renascer	1639752772	
Padaria	Padaria Florenza	1639651258	
Padaria	Panificadora Nossa Senhora Aparecida	1636335849	
Variedades	Kim Novidades	1636102796	
Restaurante	Figueira Restaurante	1631035555	
Hortifruti	Varejão Paraíso Loja 1	1639661272	R. Paraíso, 950
Atacado	Riberbão Atacado	1636399338	
Restaurante	Restaurante Paulista 1	1636277117	
Farmácia	Drogaria J.R.	1639191087	Av. Cásper Líbero, 430 - Parque Ribeirão Preto
Autopeças	Drugovich Auto Peças	1632118080	R. Tuffi Rassi, 226 - Jardim do Trevo
Farmácia	Drogaria Farma Sua	1639755070	Av. Ettore e Aurora Coraucci, 2035 - Jardim Orestes Lopes de Camargo
Farmácia	Drogaria São Paulo (Jardim Botânico)	1636231746	Av. Wladimir Meirelles Ferreira, 1846 - Jardim Botânico
Farmácia	Drogaria Jardim	1634419909	R. Brigadeiro Tobias de Aguiar, 278 - Jardim Independência
Farmácia	Drogaria Juliana (Jardim Juliana)	1636290359	R. Dr. Urandi Vieira de Souza Leite, 334 - Jardim Juliana
Assistência técnica	Autorizada Docol	1639413430	
Indústria farmacêutica	Eurofarma Laboratórios	1635124900	
Barbearia	Barbearia Fio D Ouro	16993200467	R. Virgílio de Carvalho Neves Neto, 735 - Residencial e Comercial Palmares
Salão de beleza	Studio Seniria Rodrigues	16996066718	R. Itararé, 705 - Jardim Paulista
Treinamento	Febracis Ribeirão Preto	1635127070	
Papelaria e livraria	Lápis Cor & Cia	1636274450	
Materiais elétricos	Elétrica Brasília RP	1639612511	R. Ceará, 1185 - Subsetor Norte 1
Tintas	Metaltintas	1639778800	
Restaurante	Marmitaria Arte e Sabor	1636249485	
Pizzaria	Pizzaria Lanchonete Dois Irmãos	1636260711	R. João Bim, 571 - Vila Tamandaré
Pizzaria	Vila Mangiamo Pizza Bar	1636258555	R. Sir Alexander Fleming, 160
Lanchonete	Amauri Mega Lanches e Pizzas	1639769180	R. Javari, 4328 - Geraldo Correia de Carvalho
Lanchonete	Paladar Lanches	1636204881	Av. Luzitana, 748 - Parque Ribeirão Preto
Pizzaria	Romanato Esfiharia e Pizzaria	1639170444	R. José de Paiva Roxo, 628 - Parque Industrial Lagoinha
Pizzaria	Disk Nona Pizzaria e Calzone	1636301414	Av. Dom Pedro I, 1449 - Ipiranga
