Metalurgia	Metaljunta	1636370888	Av. Luzitana, 344 - Parque Ribeirão Preto
Usinagem	Usinagem Ribeirão	16991748615	Ribeirão Preto
Transportadora	Grupo Movimente	1632379657	Via Anhanguera km 320 - Distrito Empresarial Luiz Roberto Jabali
Logística	RDR Soluções Logísticas	1636011200	Ribeirão Preto
Transportadora	Risso Transportadora	1639659100	R. Gen. Augusto Soares dos Santos - Parque Industrial Lagoinha
Pizzaria	Pizzaria Ribeirão	1636215225	R. Inácio Luiz Pinto, 245 - Alto da Boa Vista
Pizzaria	Pizzaria Três Irmãos	1636324848	Av. do Café, 549 - Vila Amélia
Pizzaria	Pizzaria Pereira	1636154495	R. Daniel Esteves, 238 - Jd. Orestes Lopes de Camargo
Oficina mecânica	CaramuruCAR	1636235554	Av. Caramuru, 999 - Jardim Sumaré
Oficina mecânica	Oficina Centrovel (Euro Repar)	1632347040	Ribeirão Preto
Oficina mecânica	Auto Center Tupã	16981987177	Ribeirão Preto
Auto socorro	Auto Socorro Ribeirão	16993213008	Ribeirão Preto
Comunicação visual	Lufa Comunicação Visual	1636309554	R. Aurora, 1660 - Vila Tibério
Gráfica	Imprimix Ribeirão Preto	1633256665	Ribeirão Preto
Comunicação visual	Guarino's Comunicação Visual	1636354761	Ribeirão Preto
Clínica odontológica	Bem Viver Odonto	1638772255	R. Tereza Cristina, 30
Clínica médica	Clínica Medicar	1635124477	R. Saldanha Marinho, 281 - Centro
Clínica odontológica	Clínica Orthus	1636251183	R. Visconde do Rio Branco, 924 - Centro
Clínica odontológica	Clínica Doqt	1638774700	Ribeirão Preto
Clínica odontológica	Sempre Sorrindo Ribeirão Preto	1636324459	Ribeirão Preto
Clínica odontológica	Odontoclinic	1636105441	Av. Independência, 1570 - Alto da Boa Vista
Academia	Skyfit Academia	16997053380	R. Silveira Martins, 774 - Campos Elíseos
Academia	Crossfit Celeiro	16996380108	Jardim Paulista
Serralheria	Serralheria Alto Estilo	1636373575	R. Jorge Lima, 280
Vidraçaria	Vidraçaria Stilo	16981560904	R. Onze de Agosto, 1966 - Campos Elísios
Vidraçaria	RP Vidraçaria	16991181147	Ribeirão Preto
Vidraçaria	Vidraçaria Ribeirão Preto	16981560244	R. João Bim, 882
Padaria	Panificadora da Lapa	1636264277	R. Marquês de Pombal - Campos Elíseos
Padaria	Panificadora Panetutti	1636172022	R. Abdo Calil, 105 - Parque Anhanguera
Padaria	Panificadora Nosso Pão	1636251821	R. Florêncio de Abreu - Centro
