Açougue	Casa de Carnes Rubinho	1636105095	R. Aurora, 544 - Vila Tibério
Açougue	Casa de Carnes Primeiro de Maio	1636378688	Av. Primeiro de Maio, 1289 - Vila Virgínia
Açougue	Casa de Carnes D Campos	1636254299	R. Bernardino de Campos, 756 - Centro
Açougue	Carnes Almir Rodrigues	1636231390	Av. Caramuru, 1136 - República
Açougue	Casa Carnes Interlagos	1636296979	R. Athaulfo Alves, 495 - Parque Anhanguera
Açougue	Casa do Açougueiro	1636361802	R. Sergipe, 33 - Campos Elíseos
Açougue	Casa de Carnes Beto Romão	1636267792	Ribeirão Preto
Açougue	Açougue do Luiz	1636124283	R. João Bim, 814 - Vila Tamandaré
Auto elétrica	MS Power Chip	1639612016	Ribeirão Preto
Auto elétrica	Autoelétrico Beto	1636292019	Ribeirão Preto
Auto elétrica	Marquinho Autoelétrico	1636285537	Ribeirão Preto
Oficina mecânica	Mecânica Porto União	1636336056	Ribeirão Preto
Auto elétrica	Aliados Auto Eletro	1636278390	Av. Dr. Plínio de Castro Prado, 417
Injeção eletrônica	Injetpower	1639190791	Ribeirão Preto
Tapeçaria	Tapeçaria Dois Irmãos	1636269096	R. Fernão Sales - Campos Elíseos
Tapeçaria	Auto Tapeçaria Soma	1636303537	R. Maranhão - Ipiranga
Persianas	Persianas Line Flex	1639311041	R. Barão de Cotegipe - Vila Tibério
Tapeçaria	Tapeçaria Inglesa	1632344050	R. Laguna, 1297 - Jardim Paulistano
Distribuidora	Mira Distribuidora	1636287077	R. Antônio Milena - Campos Elíseos
Distribuidora	Premici Distribuidora	1635122700	Ribeirão Preto
Distribuidora	Ribercon Distribuidora	1636245020	Ribeirão Preto
Distribuidora de alimentos	Distribuidora Castelo	1639671646	R. Clemente Bartolomucci - Jardim Zara
Distribuidora de bebidas	Distribuidora de Bebidas DDL	1634424230	Ribeirão Preto
Refrigeração comercial	Refrigeração Caldana	1636106943	R. Cel. Luiz da Cunha - Vila Tibério
Refrigeração comercial	Zanotti e Multi Frio	1639611804	R. José de Alencar, 436 - Campos Elíseos
Refrigeração comercial	Multifrio Refrigeração	1621017700	R. João Clapp - Campos Elíseos
Refrigeração comercial	Refricenter	1639312763	Av. da Saudade - Campos Elíseos
Refrigeração comercial	Refrigeração Bonavina	1639612111	Ribeirão Preto
Refrigeração comercial	Refrigeração Futurama	1639142040	R. Cardeal Leme, 300 - Vila Virgínia
Extintores	Universal Extintores	1636321121	R. José Bonifácio - Centro
Extintores	Sky Fire Equipamentos contra Incêndio	1630193980	R. Dois de Julho, 1274 - Vila Tibério
Segurança do trabalho	Distrinox	1639698080	Av. da Saudade - Campos Elíseos
Segurança/Chaveiro	Rei dos Cadeados	1636322809	R. Visconde de Inhaúma - Centro
Ferragens	Casa dos Parafusos	1636109967	Av. Capitão Salomão - Campos Elíseos
Ferragens	J R Parafusos e Ferramentas	16981525584	R. Maranhão - Ipiranga
Ferramentas	Multiatlas Ferramentas	1630212092	R. Monsenhor Siqueira
Solda/Gases	Oximaster	1636332382	Ribeirão Preto
Gesso/Drywall	Serv Gesso	1636375940	Av. Luzitana - Parque Ribeirão Preto
