"Nº";"Nome informado";"Nome sugerido";"Status";"CNPJ";"Telefone";"Responsável";"Categoria";"Cidade";"Abordagem";"Temperatura";"Observações";"Origem"
"1";"Alvares Auto Center Funilaria e Pintura";"Alvares Auto Center Funilaria e Pintura";"NOVO";"";"(16) 3639-1800";"";"Funilaria e pintura";"Ribeirão Preto";"";"";"Av. Rio Pardo, 2370 - Planalto Verde (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"2";"Jaguar Máquinas e Ferramentas Motorizadas";"Jaguar Máquinas e Ferramentas Motorizadas";"NOVO";"";"(16) 98134-5960";"";"Máquinas agrícolas";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"3";"Dinagro Agropecuária";"Dinagro Agropecuária";"NOVO";"";"(16) 3629-1110";"";"Agropecuária";"Ribeirão Preto";"";"";"Via Anhanguera - Recreio Anhanguera (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"4";"Copecar";"Copecar";"NOVO";"";"(16) 3637-2971";"";"Autopeças";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"5";"Sampaio Serviços Agrícolas";"Sampaio Serviços Agrícolas";"NOVO";"";"(16) 99181-3543";"";"Serviços agrícolas";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"6";"Open Perfumes Importados";"Open Perfumes Importados";"NOVO";"";"(16) 3610-4383";"";"Perfumaria";"Ribeirão Preto";"";"";"R. Barão do Amazonas - Centro (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"7";"Silvia Cosméticos";"Silvia Cosméticos";"NOVO";"";"(16) 3637-1678";"";"Cosméticos";"Ribeirão Preto";"";"";"R. Rangel Pestana, 491 - Vila Virgínia (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"8";"Planalto Farma";"Planalto Farma";"NOVO";"";"(16) 3975-7360";"";"Farmácia";"Ribeirão Preto";"";"";"R. Maria Tereza Braga Cerri - Planalto Verde (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"9";"Drogaria Juliana";"Drogaria Juliana";"NOVO";"";"(16) 3965-2469";"";"Farmácia";"Ribeirão Preto";"";"";"R. Dr. Urandy Vieira de Souza Leite - Conjunto Habitacional (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"10";"Perfumaria Cibele";"Perfumaria Cibele";"NOVO";"";"(16) 3965-1007";"";"Perfumaria";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"11";"Pague Menos";"Pague Menos";"NOVO";"";"(16) 3625-1577";"";"Farmácia";"Ribeirão Preto";"";"";"Av. Treze de Maio - Jardim Paulista (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"12";"Esquina Móveis";"Esquina Móveis";"NOVO";"";"(16) 3625-4375";"";"Móveis para escritório";"Ribeirão Preto";"";"";"Av. Independência, 353 - Vila Seixas (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"13";"GIGA Telecomunicações";"GIGA Telecomunicações";"NOVO";"";"(16) 3620-9454";"";"Telecomunicações";"Ribeirão Preto";"";"";"Trav. Nadir Lara Mansini, 142 - Jardim São Luiz (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"14";"Acetron";"Acetron";"NOVO";"";"(16) 3632-3938";"";"Antenas";"Ribeirão Preto";"";"";"R. José Bonifácio, 363 - Centro (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"15";"Novatec";"Novatec";"NOVO";"";"(16) 3635-1464";"";"Telecomunicações";"Ribeirão Preto";"";"";"Av. Independência - Jardim Sumaré (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"16";"Gibacell";"Gibacell";"NOVO";"";"(16) 3289-1837";"";"Telecomunicações";"Ribeirão Preto";"";"";"R. São Sebastião - Centro (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"17";"Convex Internet Provedor";"Convex Internet Provedor";"NOVO";"";"(16) 2132-1000";"";"Provedor de internet";"Ribeirão Preto";"";"";"R. Bernardino de Campos - Centro (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"18";"Tecbell";"Tecbell";"NOVO";"";"(16) 3636-4719";"";"Telefonia";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"19";"Nextel Telecomunicações";"Nextel Telecomunicações";"NOVO";"";"(16) 3941-6238";"";"Telecomunicações";"Ribeirão Preto";"";"";"R. Amadeu Amaral - Vila Seixas (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"20";"Rib Redes";"Rib Redes";"NOVO";"";"(16) 3639-4993";"";"Redes e cabeamento";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"21";"Marlene Despachante";"Marlene Despachante";"NOVO";"";"(16) 3626-2729";"";"Despachante";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"22";"Protecnica Laboratório de Prótese";"Protecnica Laboratório de Prótese";"NOVO";"";"(16) 3610-7640";"";"Prótese dentária";"Ribeirão Preto";"";"";"Av. Capitão Salomão, 1318 - Campos Elíseos (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"23";"Uniodonto";"Uniodonto";"NOVO";"";"(16) 3635-2551";"";"Odontologia";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"24";"Núcleo Odonto";"Núcleo Odonto";"NOVO";"";"(16) 2102-2199";"";"Clínica odontológica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"25";"Assistdente";"Assistdente";"NOVO";"";"(16) 3636-3064";"";"Assistência odontológica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"26";"Odontobras";"Odontobras";"NOVO";"";"(16) 2102-4500";"";"Equipamentos odontológicos";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
